file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/mohit/projects/spring-data-jpa-main/spring-data-jpa/src/test/java/org/springframework/data/jpa/repository/cdi/JpaQueryRewriterWithCdiIntegrationTests.java,org.springframework.data.jpa.repository.cdi.JpaQueryRewriterWithCdiIntegrationTests,class,13,15,2,13,11,1,0,33,0,0.49350652,0.6888889,1.0,11,3,0,1,0,10,10,0,0,0,7,6,0,3,0,4,3,0,0,76,1,0,0,0,0,30,2,10,0,10,0,0,2,0,84,0,1
/home/mohit/projects/spring-data-jpa-main/spring-data-jpa/src/test/java/org/springframework/data/jpa/repository/query/StoredProcedureAttributeSourceUnitTests.java,org.springframework.data.jpa.repository.query.StoredProcedureAttributeSourceUnitTests$DummyRepository,interface,4,4,0,4,17,1,0,0,136,0.0,0.0,0.0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,24,0,0,0,0,0,0,0,0,65,2,0
/home/mohit/projects/spring-data-jpa-main/spring-data-envers/src/test/java/org/springframework/data/envers/repository/support/DefaultRevisionMetadataUnitTests.java,org.springframework.data.envers.repository.support.DefaultRevisionMetadataUnitTests,class,3,3,0,3,1,1,0,9,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,3,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,27,0,0
/home/mohit/projects/spring-data-jpa-main/spring-data-jpa/src/test/java/org/springframework/data/jpa/repository/EclipseLinkQueryByExampleIntegrationTests.java,org.springframework.data.jpa.repository.EclipseLinkQueryByExampleIntegrationTests,class,17,17,0,17,3,1,0,11,0,0.33333334,1.0,1.0,3,0,0,0,0,3,3,0,0,0,5,0,0,3,0,2,0,0,1,25,0,0,0,0,0,5,0,9,0,11,0,0,0,0,41,0,0
/home/mohit/projects/spring-data-jpa-main/spring-data-jpa/src/test/java/org/springframework/data/jpa/repository/query/CustomNonBindableJpaParametersIntegrationTests.java,org.springframework.data.jpa.repository.query.CustomNonBindableJpaParametersIntegrationTests$NonBindableAwareJpaQueryMethod,innerclass,6,6,0,6,2,3,0,0,1,0.0,0.0,0.0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0
/home/mohit/projects/spring-data-jpa-main/spring-data-jpa/src/test/java/org/springframework/data/jpa/support/ClasspathScanningPersistenceUnitPostProcessorUnitTests.java,org.springframework.data.jpa.support.ClasspathScanningPersistenceUnitPostProcessorUnitTests$Anonymous1,anonymous,2,2,0,2,3,1,0,6,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,14,3,0,0,0,0,0,2,3,2,1,1,0,0,0,23,-1,0
/home/mohit/projects/spring-data-jpa-main/spring-data-jpa/src/test/java/org/springframework/data/jpa/repository/cdi/TransactionalInterceptor.java,org.springframework.data.jpa.repository.cdi.TransactionalInterceptor,class,8,8,0,8,5,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,23,1,0,0,1,0,0,0,3,0,4,2,0,0,0,18,0,0
/home/mohit/projects/spring-data-jpa-main/spring-data-jpa/src/test/java/org/springframework/data/jpa/repository/query/CustomNonBindableJpaParametersIntegrationTests.java,org.springframework.data.jpa.repository.query.CustomNonBindableJpaParametersIntegrationTests$NonBindable,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0
/home/mohit/projects/spring-data-jpa-main/spring-data-jpa/src/test/java/org/springframework/data/jpa/repository/query/ParameterMetadataProviderIntegrationTests.java,org.springframework.data.jpa.repository.query.ParameterMetadataProviderIntegrationTests,class,14,17,3,14,5,1,2,14,10,0.8,0.0,0.0,5,1,0,2,0,3,3,0,0,0,1,0,0,0,0,1,0,0,1,33,1,0,0,0,0,14,3,9,0,10,0,0,1,0,52,0,0
/home/mohit/projects/spring-data-jpa-main/spring-data-jpa/src/test/java/org/springframework/data/jpa/repository/support/JpaRepositoryFactoryBeanUnitTests.java,org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBeanUnitTests$User,innerclass,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1034,0
