file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/mohit/projects/cloudstack-main/server/src/main/java/com/cloud/resourcelimit/CheckedReservation.java,com.cloud.resourcelimit.CheckedReservation,class,12,15,3,12,18,1,0,18,11,0.7625,0.33333334,1.0,10,0,8,1,1,0,9,0,0,0,8,2,0,7,0,1,4,0,4,78,6,0,3,1,0,5,2,13,0,10,3,0,0,0,78,1,2
/home/mohit/projects/cloudstack-main/engine/storage/snapshot/src/main/java/org/apache/cloudstack/storage/snapshot/DefaultSnapshotStrategy.java,org.apache.cloudstack.storage.snapshot.DefaultSnapshotStrategy$Anonymous1,anonymous,8,8,0,8,9,1,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,1,6,1,1,1,4,7,0,5,5,0,0,0,34,-1,1
/home/mohit/projects/cloudstack-main/engine/schema/src/main/java/com/cloud/host/DetailVO.java,com.cloud.host.DetailVO,class,6,11,5,6,7,1,0,0,11,0.71428573,0.23809524,0.47619048,7,0,6,0,1,0,7,0,0,0,4,0,0,4,0,0,0,0,0,28,4,0,0,0,0,5,0,4,0,4,0,0,0,0,16,1,0
/home/mohit/projects/cloudstack-main/api/src/main/java/com/cloud/deploy/DeploymentPlanner.java,com.cloud.deploy.DeploymentPlanner$PlannerResourceUsage,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/home/mohit/projects/cloudstack-main/plugins/user-two-factor-authenticators/totp/src/main/java/org/apache/cloudstack/auth/TotpUserTwoFactorAuthenticator.java,org.apache.cloudstack.auth.TotpUserTwoFactorAuthenticator,class,11,12,1,11,8,2,0,15,15,0.9166666,0.0,0.0,6,0,4,2,0,0,4,0,0,0,2,1,1,1,0,0,1,0,1,39,6,0,0,0,0,5,1,9,0,10,1,0,0,0,50,1,1
/home/mohit/projects/cloudstack-main/framework/db/src/main/java/com/cloud/utils/db/SequenceFetcher.java,com.cloud.utils.db.SequenceFetcher,class,6,8,2,6,7,1,0,7,11,0.7916667,0.06666667,0.06666667,6,1,5,0,1,0,6,0,0,0,4,3,0,2,1,1,3,0,0,106,6,0,0,1,0,3,4,5,1,5,1,0,1,0,50,1,1
/home/mohit/projects/cloudstack-main/plugins/storage/volume/cloudbyte/src/main/java/org/apache/cloudstack/storage/datastore/util/ElastistorUtil.java,org.apache.cloudstack.storage.datastore.util.ElastistorUtil$QoSGroupWrapperChangeVolumeIops,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,10,25,0
/home/mohit/projects/cloudstack-main/api/src/main/java/org/apache/cloudstack/api/command/admin/guest/AddGuestOsCmd.java,org.apache.cloudstack.api.command.admin.guest.AddGuestOsCmd,class,10,11,1,10,16,2,0,22,66,0.9333334,0.0,0.0,12,0,12,0,0,0,12,0,0,0,5,1,1,4,0,0,1,0,0,70,10,1,2,0,0,14,0,10,2,14,2,0,0,0,55,1,0
/home/mohit/projects/cloudstack-main/plugins/network-elements/juniper-contrail/src/main/java/org/apache/cloudstack/network/contrail/model/ServiceInstanceModel.java,org.apache.cloudstack.network.contrail.model.ServiceInstanceModel,class,19,24,5,19,36,2,0,49,60,0.82352936,0.24358974,0.5769231,17,0,13,4,0,0,13,0,0,0,15,1,0,15,0,0,1,0,2,203,12,0,8,10,0,19,3,42,4,33,2,0,0,0,104,1,8
/home/mohit/projects/cloudstack-main/api/src/test/java/org/apache/cloudstack/api/command/admin/annotation/AddAnnotationCmdTest.java,org.apache.cloudstack.api.command.admin.annotation.AddAnnotationCmdTest,class,3,3,0,3,2,1,0,4,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,2,0,1,0,1,0,0,0,0,12,1,0
